"","Alveolar.bipotent.progenitor","Alveolar.macrophage.Ear2.high","Alveolar.macrophage.Pclaf.high","AT1.cell","AT2.cell","B.cell","Basophil","Ciliated.cell","Clara.cell","Dendritic.cell.Gngt2.high","Dendritic.cell.H2.M2.high","Dendritic.cell.Mgl2.high","Dendritic.cell.Tubb5.high","Dendritic.cell.Naaa.high","Endothelial.cell.Kdr.high","Endothelial.cell.Tmem100.high","Endothelial.cell.Vwf.high","Eosinophil","IgA.producing.B.cell","Interstitial.macrophage","Monocyte.progenitor","Neutrophil","NK.cell","Nuocyte","Plasmacytoid.dendritic.cell","Stromal.cell.Acta2.high","Stromal.cell.Dcn.high","Stromal.cell.Inmt.high","T.cell.Cd8b1.high"
"Mettl4",0,0,0,0,0.001485149,0.001432665,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0,0,0.003636364,0.006622517,0.006779661,0,0,0,0.006521739
"Mettl5",0.0625,0.024048096,0.027777778,0.042944785,0.02029703,0.008595989,0,0.055555556,0.024242424,0.01863354,0,0.01863354,0,0.021505376,0.028846154,0.020979021,0.027027027,0.011320755,0.066666667,0.022321429,0.076923077,0.014285714,0.021818182,0.013245033,0.020338983,0.032258065,0.027322404,0.017964072,0.017391304
"Mettl6",0,0.016032064,0,0.006134969,0.006930693,0.014326648,0,0.037037037,0.018181818,0,0,0.01863354,0,0.010752688,0.009615385,0.020979021,0.013513514,0.003773585,0,0.017857143,0,0,0.018181818,0,0.020338983,0.016129032,0.010928962,0.005988024,0.002173913
"Mettl7a1",0.5,0.046092184,0,1.030674847,0.704950495,0.021489971,0.142857143,1.138888889,0.76969697,0.049689441,0.047619048,0.068322981,0.066666667,0.043010753,0.038461538,0.132867133,0.067567568,0.030188679,0.033333333,0.03125,0,0,0.043636364,0.046357616,0.054237288,0.177419355,0.218579235,0.724550898,0.026086957
"Mettl8",0.03125,0.006012024,0,0,0.012871287,0.014326648,0,0.037037037,0.018181818,0.01242236,0,0,0,0.005376344,0,0.020979021,0,0.00754717,0.066666667,0.004464286,0,0,0.014545455,0.006622517,0.013559322,0.032258065,0.010928962,0,0.010869565
"Mettl9",0.03125,0.054108216,0.055555556,0.030674847,0.035148515,0.024355301,0,0.064814815,0.054545455,0.093167702,0,0.043478261,0.033333333,0.021505376,0.086538462,0.048951049,0.027027027,0.060377358,0.1,0.03125,0.153846154,0.171428571,0.025454545,0.046357616,0.122033898,0.096774194,0.12568306,0.107784431,0.047826087
"Mex3a",0.03125,0,0,0,0.002475248,0,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0.007272727,0,0,0,0,0,0
"Mex3b",0,0,0,0,0.000990099,0.001432665,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.004464286,0,0,0,0.013245033,0,0,0.005464481,0.005988024,0
"Mex3c",0,0.02004008,0.027777778,0.036809816,0.027227723,0.004297994,0,0,0,0.01242236,0.047619048,0.031055901,0,0.010752688,0.028846154,0,0.013513514,0.01509434,0,0.008928571,0,0.014285714,0.007272727,0.026490066,0.016949153,0.016129032,0.010928962,0.017964072,0
"Mex3d",0,0.008016032,0,0.030674847,0.004950495,0,0,0.018518519,0,0,0,0,0,0,0.009615385,0.013986014,0.027027027,0,0,0,0,0,0.003636364,0,0,0,0.010928962,0.011976048,0
"Mfap2",0,0.002004008,0,0,0.002970297,0.005730659,0,0.018518519,0,0,0,0,0,0,0.163461538,0.174825175,0.054054054,0,0,0.004464286,0,0,0.007272727,0.006622517,0.003389831,0.080645161,0.25136612,0.119760479,0.006521739
"Mfap3",0,0.03006012,0,0.055214724,0.025247525,0.025787966,0,0.037037037,0.018181818,0.031055901,0.047619048,0.01863354,0.133333333,0.069892473,0.028846154,0.048951049,0.027027027,0.003773585,0.066666667,0.040178571,0.076923077,0,0.036363636,0.01986755,0.071186441,0.032258065,0.021857923,0.035928144,0.015217391
